dauer;status;beginn.monat;female;male;alter;bild
36;0;104;0;1;30;3
36;0;57;0;1;57;2
9;1;28;1;0;29;1
30;1;21;0;1;37;1
4;1;1;1;0;32;2
1;1;97;0;1;39;1
36;0;105;0;1;38;1
1;1;28;0;1;36;2
5;1;2;1;0;33;2
1;0;72;0;1;27;2
4;1;120;0;1;28;2
21;0;85;1;0;39;2
6;1;116;0;1;27;2
10;0;94;0;1;42;2
12;1;13;0;1;34;2
8;0;89;0;1;26;2
3;1;32;1;0;30;1
17;0;108;0;1;50;2
4;0;65;1;0;40;1
36;0;71;1;0;32;2
6;1;88;0;1;40;2
10;0;115;0;1;50;2
1;1;94;1;0;50;1
4;1;72;0;1;28;2
9;1;100;0;1;56;2
8;1;67;0;1;27;2
36;0;81;0;1;40;2
6;1;112;1;0;45;1
6;0;28;0;1;38;2
1;0;33;0;1;28;1
5;1;107;1;0;25;2
14;1;19;0;1;46;2
10;0;115;0;1;50;2
5;1;99;1;0;38;2
5;0;35;0;1;50;2
3;1;56;1;0;44;2
18;0;17;0;1;59;2
3;1;103;0;1;55;1
2;1;24;0;1;35;2
10;0;115;0;1;41;1
7;0;90;0;1;48;2
2;1;68;0;1;43;2
26;1;17;1;0;53;2
12;1;49;0;1;46;2
2;0;73;0;1;50;1
1;1;106;1;0;39;2
7;1;95;0;1;39;2
5;1;114;0;1;31;2
31;0;31;1;0;27;2
19;0;106;0;1;61;2
1;1;80;0;1;25;2
8;1;85;1;0;47;2
34;1;71;0;1;27;3
1;1;93;1;0;29;2
3;1;97;0;1;48;2
12;1;33;0;1;44;2
9;1;34;0;1;31;2
5;0;77;1;0;25;2
30;0;18;1;0;58;2
1;1;85;0;1;55;2
1;1;45;1;0;41;1
2;0;77;1;0;49;2
36;0;78;1;0;50;3
3;1;49;0;1;37;2
4;1;100;0;1;37;1
5;0;34;1;0;31;1
1;0;124;0;1;52;1
3;1;77;1;0;25;2
3;1;33;0;1;51;2
1;1;3;0;1;39;1
31;0;84;1;0;40;2
6;1;112;0;1;35;2
4;0;121;0;1;32;3
4;0;73;0;1;62;2
2;0;68;1;0;36;2
2;1;84;0;1;51;1
11;1;114;1;0;38;2
33;0;90;0;1;59;2
2;1;60;0;1;45;1
2;0;47;1;0;28;2
1;0;112;1;0;26;1
1;1;46;0;1;36;2
9;1;49;1;0;35;2
2;0;7;0;1;30;3
2;1;121;0;1;26;2
1;1;8;0;1;29;2
4;1;13;0;1;33;2
5;0;83;0;1;44;2
9;1;34;1;0;38;2
4;0;121;0;1;55;2
23;0;71;0;1;61;1
7;1;16;0;1;33;1
2;0;26;0;1;50;2
4;0;5;1;0;27;2
36;0;73;0;1;60;2
6;1;23;0;1;25;2
8;1;19;1;0;30;2
4;1;96;0;1;62;1
24;1;79;1;0;46;2
16;1;76;0;1;54;1
20;1;88;1;0;48;1
4;0;121;0;1;64;2
10;1;65;1;0;39;1
18;1;100;0;1;37;2
4;1;78;1;0;41;2
2;1;64;0;1;27;3
7;0;73;0;1;36;1
2;1;97;0;1;31;2
12;0;55;0;1;60;2
3;1;17;1;0;31;1
1;1;50;0;1;57;1
5;0;120;0;1;34;2
17;0;72;0;1;49;3
8;1;63;1;0;26;3
8;1;46;0;1;27;2
5;0;120;1;0;53;1
1;1;115;1;0;29;2
2;1;98;0;1;26;2
11;1;6;0;1;52;2
5;0;92;0;1;43;2
2;0;59;1;0;31;2
9;0;57;1;0;45;1
9;0;116;1;0;48;1
8;1;7;0;1;29;2
1;1;39;0;1;40;2
21;0;104;0;1;45;2
8;0;105;1;0;43;2
6;1;46;1;0;48;1
7;0;6;0;1;27;3
2;0;48;0;1;54;2
9;1;7;0;1;30;2
3;1;68;0;1;37;1
7;1;23;0;1;43;2
6;1;1;0;1;53;3
1;1;48;0;1;26;3
7;1;24;0;1;52;2
1;0;124;1;0;28;1
2;1;120;0;1;34;1
4;1;85;1;0;33;2
5;1;63;0;1;56;1
13;0;112;0;1;38;1
3;1;2;0;1;43;2
3;1;17;0;1;46;2
4;0;25;1;0;31;2
2;1;121;0;1;44;2
8;0;117;0;1;49;3
36;0;48;0;1;41;2
20;0;105;0;1;53;2
12;0;22;0;1;59;2
4;1;89;0;1;40;3
1;1;26;0;1;28;2
7;0;118;0;1;46;3
1;0;72;0;1;47;2
25;0;85;1;0;59;2
12;0;72;0;1;25;3
2;1;35;1;0;36;1
24;0;25;0;1;55;3
1;1;90;1;0;45;1
7;1;84;1;0;39;1
1;1;20;0;1;55;1
8;0;113;0;1;31;2
9;0;61;0;1;36;2
1;0;124;0;1;47;1
